Year,赛事阶段,球队,本队进球,对手进球,Attendance,本队红牌,对手红牌,净胜球,比赛结果,是否淘汰赛,是否东道主,结果文字
2022,Final,Argentina,3,3,88966,0,0,0,1,1,0,平局
2022,Third-place match,Croatia,2,1,44137,0,0,1,2,0,0,胜利
2022,Semi-finals,France,2,0,68294,0,0,2,2,0,0,胜利
2022,Semi-finals,Argentina,3,0,88966,0,0,3,2,0,0,胜利
2022,Quarter-finals,Morocco,1,0,44198,0,0,1,2,1,0,胜利
2022,Quarter-finals,England,1,2,68895,0,0,-1,0,1,0,落败
2022,Quarter-finals,Croatia,1,1,43893,0,0,0,1,1,0,平局
2022,Quarter-finals,Netherlands,2,2,88235,0,0,0,1,1,0,平局
2022,Round of 16,Morocco,0,0,44667,0,0,0,1,1,0,平局
2022,Round of 16,Portugal,6,1,83720,0,0,5,2,1,0,胜利
2022,Round of 16,Japan,1,1,42523,0,0,0,1,1,0,平局
2022,Round of 16,Brazil,4,1,43847,0,0,3,2,1,0,胜利
2022,Round of 16,France,3,1,40989,0,0,2,2,1,0,胜利
2022,Round of 16,England,3,0,65985,0,0,3,2,1,0,胜利
2022,Round of 16,Netherlands,3,1,44846,0,0,2,2,1,0,胜利
2022,Round of 16,Argentina,2,1,45032,0,0,1,2,1,0,胜利
2022,Group stage,Korea Republic,2,1,44097,0,0,1,2,0,0,胜利
2022,Group stage,Ghana,0,2,43443,0,0,-2,0,0,0,落败
2022,Group stage,Cameroon,1,0,85986,0,0,1,2,0,0,胜利
2022,Group stage,Serbia,2,3,41378,0,0,-1,0,0,0,落败
2022,Group stage,Canada,1,2,43102,0,0,-1,0,0,0,落败
2022,Group stage,Croatia,0,0,43984,0,0,0,1,0,0,平局
2022,Group stage,Costa Rica,2,4,67054,0,0,-2,0,0,0,落败
2022,Group stage,Japan,2,1,44851,0,0,1,2,0,0,胜利
2022,Group stage,Australia,1,0,41232,0,0,1,2,0,0,胜利
2022,Group stage,Tunisia,1,0,43627,0,0,1,2,0,0,胜利
2022,Group stage,Saudi Arabia,1,2,84985,0,0,-1,0,0,0,落败
2022,Group stage,Poland,0,2,44089,0,0,-2,0,0,0,落败
2022,Group stage,Ecuador,1,2,44569,0,0,-1,0,0,0,落败
2022,Group stage,Netherlands,2,0,66784,0,0,2,2,0,0,胜利
2022,Group stage,IR Iran,0,1,42127,0,0,-1,0,0,0,落败
2022,Group stage,Wales,0,3,44297,0,0,-3,0,0,0,落败
2022,Group stage,Cameroon,3,3,39789,0,0,0,1,0,0,平局
2022,Group stage,Korea Republic,2,3,43983,1,0,-1,0,0,0,落败
